tradspell,augmented,freq,rank
tentacle,tentáclè,12625,0.00416
gypsy,ĝųpsý,12659,0.00414
hovering,hovériñg0,12705,0.00412
contextual,contextûal,12711,0.00411
centralised,çentralîśèd,12720,0.00411
sweetheart,swêèthèārt,12721,0.00411
mythology,mųπħolóĝý,12727,0.00411
drily,drîlý,12732,0.00411
polymerase,polųmérâsè,12800,0.00408
aquatic,áqυatic,12822,0.00407
sombre,sombŕè,12850,0.00406
biochemical,bîôcħemicál,12871,0.00405
workhouse,wòŕkhõùsè,12881,0.00405
tallis,tall0is,12884,0.00404
rincewind,rinçèwind,12886,0.00404
pigeon,piĝėòn,12890,0.00404
trickle,trick0lé,12892,0.00404
diluted,dîlütéd,12905,0.00403
ranulf,ranulf,12912,0.00403
colliery,coll0ïérý,12914,0.00403
repairing,rėpãíriñg0,12929,0.00402
coughing,coughing!cofiñ,12931,0.00402
fracture,fracťùŕè,12948,0.00401
centimetres,çentimêtŕèś,12966,0.004
emphasising,emþħásîśiñg0,12979,0.004
adverts,advèŕts,12993,0.00399
interfering,intèŕfėriñg0,12995,0.00399
southend,sõùπħend,13002,0.00399
selectors,sélectòŕś,13005,0.00399
lucenzo,luçenzô,13007,0.00399
histological,histólogical,13017,0.00398
periodically,pėrïodicáll0ý,13053,0.00396
entrepreneurial,entrepreneurial!ontréprénéùrïál,13062,0.00395
wilko,wilkô,13068,0.00395
pyjamas,pųjāmáś,13102,0.00393
styling,stŷliñg0,13123,0.00393
jessamy,jess0amý,13131,0.00392
humphrey,humþħrèý,13160,0.00391
schizophrenia,schizophrenia!scitsofrênêa,13191,0.00389
textual,texťuál,13192,0.00389
notts,nott0s,13194,0.00389
syllables,sųll0áblèś,13195,0.00389
maidstone,mâìdstónè,13212,0.00388
cyril,çųríl,13252,0.00387
uruguay,ûrugυàŷ,13254,0.00387
gym,ĝųm,13259,0.00387
heterosexual,hetérôsexûal,13314,0.00384
tertiary,tèŕţïãrý,13315,0.00384
gen,ĝen,13321,0.00383
crisps,crisps,13338,0.00383
kirsty,kìŕstý,13363,0.00382
apologised,ápolóĝîśèd,13399,0.0038
bureaux,bureaux!byŕrô,13400,0.0038
barnard,bārnārd,13438,0.00379
wimpey,wimpèý,13443,0.00378
viscount,vîs0cõùnt,13451,0.00378
azerbaijan,azèŕbàîjān,13472,0.00377
tying,tŷiñg0,13485,0.00376
settlor,sett0lòŕ,13499,0.00376
saviour,sâvĭòùŕ,13513,0.00375
spoilt,spŏìlt,13516,0.00375
symbolism,sųmbóliśm,13520,0.00375
maple,mâplè,13525,0.00375
augustus,āùgustus,13535,0.00374
synonymous,sýnonýmòus,13540,0.00374
calibre,calibŕè,13543,0.00374
metaphysical,metáþħųśicál,13568,0.00373
jose,jose!hôzâ,13579,0.00372
matthews,maππ0ħëwś,13607,0.00371
anglian,anglïán,13628,0.0037
physicians,þħųśićiánś,13636,0.0037
footballer,fōòtbåll0èŕ,13649,0.00369
tanzania,tanzánïá,13662,0.00368
crippled,cripp0lèd,13688,0.00367
mersey,mèŕśèý,13691,0.00367
modernisation,modèŕnîśâţìòn,13697,0.00367
despatched,dėspatĉħèð,13698,0.00367
entrenched,ėntrenĉħèð,13699,0.00367
eyelids,èŷèlidś,13713,0.00366
hypertension,hŷpèŕtenŝìòn,13718,0.00366
stereotypes,sterêótŷpès,13738,0.00365
recognisable,recógnîśáblè,13743,0.00365
carriageway,carr0iàĝèwây0,13767,0.00364
mccarthy,mcc0ār0πħý,13773,0.00364
stratification,stratificâţìòn,13786,0.00363
tuberculosis,tübèŕcûlôsis,13792,0.00363
puzzling,puzz0liñg0,13804,0.00363
islington,iśliñg0tón,13825,0.00362
splendour,splendòùŕ,13827,0.00362
anaemia,anàêmïá,13845,0.00361
complexion,cómplexïón,13851,0.00361
catalyst,catálųst,13862,0.0036
pluralist,plùŕálist,13878,0.0036
symptomatic,sųmptómatic,13898,0.00359
instalments,instålments,13901,0.00359
rune,rünè,13912,0.00359
plasmid,plaśmid,13935,0.00358
gascoigne,gascŏìg0nè,13946,0.00357
molar,môlàŕ,13953,0.00357
galileo,galílĕô,13954,0.00357
brixton,brixtón,13963,0.00357
hymns,hųmn0ś,13974,0.00357
offeror,off0éròŕ,13998,0.00356
prepares,prêpãŕèś,14008,0.00355
hypocrisy,hųpocrísý,14056,0.00353
presbyterian,presbųtėrïán,14057,0.00353
tranmere,tranmêŕ,14058,0.00353
bog,bog,14061,0.00353
symmetric,sųmm0etric,14067,0.00353
ow,õw0,14080,0.00352
lynch,lųnĉħ,14097,0.00352
endoscopy,endóscopý,14121,0.00351
notify,nôtífŷ,14138,0.0035
auxiliary,āùxilĩárý,14141,0.0035
recurring,rėcùŕriñg0,14166,0.00349
rifles,rifles!rîfulz,14173,0.00349
bucharest,bûcħárest,14174,0.00349
stephenson,stêþħensón,14175,0.00349
decor,dĕcør,14178,0.00349
perceptual,pèŕçepťúàl,14188,0.00348
crypt,crųpt,14191,0.00348
dyson,dŷsón,14201,0.00348
earrings,êàŕriñg0ś,14207,0.00347
directories,dîrectórïèś,14219,0.00347
endeavours,endeàvòùŕś,14223,0.00347
disused,disûśè,14225,0.00347
rhyme,rħŷmè,14237,0.00346
sphincter,sþħiñctèŕ,14238,0.00346
privet,privét,14262,0.00345
baffled,baff0led!baff0úlèd,14267,0.00345
inaugural,inåùgûrál,14290,0.00344
anfield,anfìêld,14293,0.00344
sensual,senŝüál,14300,0.00344
staple,staple!stâpúlè,14311,0.00344
wryly,w0rŷlý,14336,0.00343
reservoirs,reservoirs!rezŕvwāz,14339,0.00343
refund,rêfund,14340,0.00343
punters,puntèŕś,14349,0.00342
presses,press0ėś,14411,0.0034
twickenham,twick0énħám,14416,0.0034
colorado,colòŕādô,14427,0.0034
essentials,ess0enťìálś,14432,0.0034
sellafield,sell0áfìêld,14447,0.00339
unfavourable,unfâvòùŕablè,14468,0.00338
hymn,hųmn0,14516,0.00337
gazza,gāzz0a,14535,0.00336
manoeuvres,mánöèùvŕèś,14550,0.00336
classify,class0ífŷ,14552,0.00336
salient,sâlĩént,14560,0.00335
adhesion,adhêśĭón,14563,0.00335
orcs,ørcs,14579,0.00335
physiology,þħųśïolóĝý,14605,0.00334
scrum,scrum,14609,0.00334
simplify,simplífŷ,14631,0.00333
settee,sett0êè,14647,0.00332
beryl,berųl,14657,0.00332
despatch,dėspatĉħ,14685,0.00331
associative,ass0ôçïativè,14695,0.00331
everest,everést,14709,0.0033
byron,bŷrón,14718,0.0033
carbohydrate,cārbôhŷdrâtè,14726,0.0033
guildford,gùild0førd,14736,0.00329
whitehouse,wħîtèhõùsè,14742,0.00329
wyatt,wŷátt0,14747,0.00329
pancreatitis,pancrêatîtís,14748,0.00329
frying,frŷiñg0,14758,0.00328
labouring,labòúriñg0,14763,0.00328
cylinders,çųlíndèŕś,14772,0.00328
colorectal,côlorectal,14835,0.00326
gummer,gumm0èŕ,14845,0.00326
conveyancing,conveyánçiñg0,14848,0.00326
raffle,raff0le!raff0úl,14856,0.00325
fertiliser,fèŕtílîśèŕ,14867,0.00325
trough,trough!trof,14869,0.00325
specialising,speçíàlîśiñg0,14883,0.00324
signify,signífŷ,14891,0.00324
coughed,coughed!cofd,14893,0.00324
anaesthetic,anáèsπħetic,14960,0.00321
psychiatrists,p0sŷcħîátrísts,14980,0.0032
industrialisation,industriàlîśâţìòn,15000,0.0032
shuffled,ŝħuff0lèd,15010,0.00319
faeces,fàêçėś,15019,0.00319
cantona,cantonā,15029,0.00319
tranquillity,trañqυill0itý,15032,0.00319
andrea,āndrĕá,15045,0.00318
haemorrhage,hàemórr0ħágè,15062,0.00317
argyll,ārgŷll0,15064,0.00317
standby,standbŷ,15066,0.00317
lyrical,lųricál,15070,0.00317
rumoured,rümòùŕèd,15083,0.00317
incubated,incûbâtéd,15084,0.00317
channelled,ĉħann0éll0éd,15091,0.00317
knuckles,k0nuck0lèś,15095,0.00316
haemoglobin,hàemóglôbín,15110,0.00316
inwards,inwár0dś,15117,0.00316
roubles,ròüblèś,15140,0.00315
bryony,brŷóný,15144,0.00315
sampled,samplèd,15149,0.00315
labourer,lâbòúrèŕ,15152,0.00315
directorate,dîrectórátè,15153,0.00315
vinyl,vînŷl,15165,0.00314
unambiguous,unambigûòús,15170,0.00314
utilised,ûtílîśèd,15174,0.00314
sybase,sŷbâsè,15193,0.00313
defy,dėfŷ,15197,0.00313
mosque,møsqùè,15201,0.00313
emotive,ėmôtivè,15209,0.00313
preferential,prefèŕenťìál,15235,0.00312
dodgy,dodgý,15244,0.00312
lighthouse,lîg0ħthõùsè,15262,0.00311
ibrox,îbrox,15272,0.00311
sybil,sųbil,15291,0.0031
watercolours,wåtèŕcőlòùŕś,15326,0.00309
archers,ārĉħèŕś,15337,0.00309
schoolgirl,scħöòlgìŕl,15341,0.00309
platinum,platinum,15384,0.00307
subsidised,subśidîśèd,15416,0.00306
theresa,tħèŕĕsá,15425,0.00306
bartholomew,bārπħolómëw,15426,0.00306
henri,ħénrï,15441,0.00306
commonest,comm0ónest,15442,0.00306
systemic,sųstemic,15456,0.00305
emergencies,ėmèŕĝénçïèś,15464,0.00305
granddad,grandd0ad,15466,0.00305
artemis,ārtémis,15472,0.00305
aug,åùg,15488,0.00304
modifying,modífŷiñg0,15493,0.00304
lyle,lŷlè,15501,0.00304
kyle,kŷlè,15528,0.00303
resin,reśín,15534,0.00303
mantelpiece,mantélpìêçè,15538,0.00303
epithelium,epiπħêlium,15541,0.00303
olympia,ôlųmpïá,15550,0.00303
